date,T_avg,T_max,T_min,humidity_avg,rain_mm,avg_wind_kmh,wind_dir,max_wind_kmh,pressure_avg,radiation_avg
2010-07-29,23.31041666666667,30.4,18.8,76.83333333333333,3.4000000000000004,6.7562500000000005,296.87902217945185,36.7,1013.525,191.33333333333334
2010-07-30,22.608333333333334,27.6,19.4,78.0625,1.1,6.945833333333333,175.27362454558423,29.5,1014.1625,192.91666666666666
2010-07-31,24.05,29.0,20.1,73.9375,0.0,6.577083333333333,229.77113100084878,24.8,1015.5916666666667,170.85416666666666
2010-08-01,24.802083333333332,31.4,19.1,67.52083333333333,0.0,8.74375,230.83130221540725,36.4,1015.61875,283.9166666666667
2010-08-02,23.170833333333334,30.3,16.6,73.66666666666667,1.2,8.966666666666667,140.8365217721207,59.8,1015.49375,244.29166666666666
2010-08-03,22.224999999999998,29.4,17.1,69.04166666666667,0.0,7.627083333333332,102.91210890894959,31.7,1015.5520833333334,239.8963125
2010-08-04,22.662499999999998,27.4,17.1,65.70833333333333,0.0,7.420833333333333,159.50760927058394,29.9,1012.49375,257.4166666666667
2010-08-05,22.070833333333336,27.3,17.9,71.58333333333333,0.0,9.004166666666666,116.79028016020675,33.5,1011.46875,201.0
2010-08-06,22.147916666666664,27.9,17.8,67.9375,1.1,7.104166666666667,224.8007904893171,32.0,1015.6125000000001,304.1666666666667
2010-08-07,24.256249999999998,31.7,17.1,67.85416666666667,0.0,7.954166666666667,253.86435804246943,40.3,1017.3020833333334,310.7916666666667
2010-08-08,25.164583333333336,32.0,17.2,61.041666666666664,0.0,8.583333333333334,238.61119990709554,28.8,1017.0812500000001,288.6458333333333
2010-08-09,25.53333333333333,33.7,20.0,69.4375,0.0,8.716666666666667,242.8905235179064,31.3,1015.3249999999999,237.77083333333334
2010-08-10,23.3625,29.2,17.7,76.29166666666667,0.0,6.577083333333333,172.30653922450702,26.6,1016.2333333333332,197.9375
2010-08-11,23.802083333333332,29.2,19.0,72.9375,0.0,6.5,93.86919689735639,27.0,1015.7062500000001,256.5
2010-08-12,22.12291666666667,29.6,16.4,71.0,15.7,7.079166666666667,225.96347731559698,47.2,1014.4812499999999,224.25
2010-08-13,20.408333333333335,25.2,16.8,71.85416666666667,0.0,5.3500000000000005,221.27752091497706,19.8,1014.8541666666666,190.20833333333334
2010-08-14,19.502083333333335,24.8,15.8,72.27083333333333,1.0,6.21875,225.5279807576084,27.7,1014.1729166666668,202.10416666666666
2010-08-15,20.181250000000002,27.2,15.2,63.333333333333336,0.0,8.283333333333333,118.0634656037902,38.9,1016.6166666666667,255.60416666666666
2010-08-16,20.322916666666668,24.8,14.0,68.85416666666667,0.0,6.808333333333334,240.4501021678422,27.4,1019.9583333333334,240.22916666666666
2010-08-17,23.2,29.4,17.8,73.8125,0.0,8.485416666666667,245.0970307951079,32.4,1017.1354166666666,254.91666666666666
2010-08-18,24.3,30.8,18.5,71.8125,0.0,7.829166666666667,240.7068655945832,43.9,1012.9604166666667,292.0
2010-08-19,21.631249999999998,28.1,17.7,82.41666666666667,16.6,5.202083333333333,8.316178818448822,38.2,1015.2479166666667,121.58333333333333
